,comment,Org Name,predicted_sentiment
5231,"my stepfather had an appointment at the eyeclinic for 12.30 he was asked to return at 1pm so had lunch and went back(it was a routine op just an ingrowing eyelash removed) he arrived home that night at 20.30pm - eight whole hours at the hospital he is 76years old has heart failure and is diabetic I was appalled that you had given everyone in that clinic a 1pm appointment  what a ludicrass system surely someone can come up with a better method and why didn't they ask him after several hours if he would prefer to have gone home and made an appointment for another time (which he would have had  the same problem with I presume)
However he did comment on how pleasant the nurses and doctors were
But please get your act together Macclesfield Hospital",Macclesfield District General Hospital,negative
2594,"My knee was Xrayed on 13 January. I am in constant pain. Today, twelve days later, when I spoke to your results line I was told that the results were still not yet available. Given the pain and length of time, do you think this is acceptable?",Edgware Community Hospital,negative
1725,"I attended with my 11 year old daughter at 9.15 at night. The A & E dept was extremely busy but the traige nurse assessed her injury very quickly and ensured it was treated within minutes. It was a minor though painful injury but the nurse, who was coming to the end of her long shift, stayed around to ensure my daughter was attended to and seen by a doctor - the whole visit was less than 40 minutes. This meant that my daughter did not have to wait in a very busy waiting room, witnessing some unpleasant sights and her distress was reduced. As a result she has gone to school today a little tired but nursing her war wounds not having to take the day off school because she was at the hospital all night. Thank you all concerned for your common sense, caring response.",Chorley and South Ribble Hospital,positive
9780,"i have to give praise to the endoscopy personnel on the third floor of scarborough general  hospital!
they took good care of my father when he was there for a procedure.  after the procedure, my father was not well, but the nurses, post-op nurses, ccrt, doctor on call, the whole team, they took good care of him with patience and love.   i thank you all!!",Scarborough General Hospital,positive
12618,"I was taken ill while on holiday and was taken to a&e the receptionist was helpful friendly and effient, I was very well looked after by the drs & nurses they looked after me very well they were brilliant.",Wansbeck Hospital,positive
487,"The Hospital ws clean and very friendly. I worked within the hospital on a voluntry basis at one point and i was very impressed with the care and dedication of the staff in the hospital. 
The hospital offers excellent care to the elderly, i once saw a very elderly man of at least 80 years old lying in a crooked position in A+E. A Nurse immedietly noticed this and called for assistance, the nurse brought him extra Pillows and blankets and began talking to him. I thought this showed extreme care and compassion within the hopsital",Basildon University Hospital,positive
13305,i was transferd frm a different hospital for early delivery of my baby but sadly my baby didnt make iit but the staff were fantastic they gave me so much support and help the doctors were also very good fab team work and great support by all staff and a very clean hospital,William Harvey Hospital (Ashford),positive
6518,"I accompanied a friend to the fracture clinic for a Monday morning appointment. We arrived at the time given, to join a queue waiting in front of a reception desk with its shutters closed. Being a fracture clinic many of the people queuing had difficulty standing or walking, and some were obviously in pain. Before long the queue went all the way to the door and then turned along inside the clinic. It then became difficult for new people arriving to see where to go to join the queue, and hard to actually get past other people to the end of the queue.  It was particularly difficult for people with large crutches or in wheelchairs to move around, and there was quite a risk of people bumping into each other. This caused anxiety for people including my friend trying to avoid further hurt to injuries, and there was a generally stressful atmosphere. Time in the queue was longer than the time the actual appointment took, so this was a significant part of the experience. 

There may have been a particular problem with the reception opening late on that day. But the was a bigger problem underlying this seems to be having a system that requires lots of people with damaged joints etc to come and stand in a queue. There must be a better way, such as a ticketing or a check-in system, perhaps combined with spreading out the starting time for appointments particularly at times like Monday mornings that are known to be busy.   I also wonder whether people are offered the chance to book appointment times if it is less urgent. 

I noticed another comment about queueing in the fracture clinic,  and hope you can find ways of improving the system.",Nottingham University Hospitals NHS Trust - Queen's Medical Centre Campus,negative
8355,I was told that the waiting list was 4 to 6 weeks. I then rang the appointment telephone number for two days but always got the answer machine and no returned calls. When I tried another number and got through I was told that the wait was 10 weeks. This is just before I get married and am not happy with the service provided. It has cost me for several phone calls which could have easily been sorted out by e mail.,Royal Blackburn Hospital,negative
13379,My stay at the winfield was of the most utmost care and attention all staff from the surgeon to the cleaners were of the most caring and friendly people. I would not hesitate to go to this hospital again.,Winfield Hospital,positive
11568,"The caring, friendly approach of ALL those who worked so diligently for my benefit. I include the cleaning and catering operatives in this. My wife and son received full and considerate contact also.",The James Cook University Hospital,positive
3443,personally there is very little that i could possibly comment on here as we received care far above and beyond our expectations.,Great Ormond Street Hospital Central London Site,positive
7678,"Some members of staff, one in particular monitored me regularly as I was supposed to be. She weighed me and measured me (the only nurse to do this). The bedsheets were tidied each day and they provided me with some things to shower and wash my hair. Staff members were pleasant and some were really jolly and friendly.",Queen Elizabeth The Queen Mother Hospital,positive
8989,"my consultants were fantastic, 4 years of wrong diagnosis by other hospitals yet both consultants found the problem straight away. very clear information was given and very short waiting time for my opperation. fantastic after care by all but one nurse",Royal Lancaster Infirmary,positive
10766,"I have read many negative comments about health care in nhs hospitals, but I wanted you to know that my experiences in St Mary's and the western eye hospital were totally excellent. Appointments were easy and convenient to make. Nurses were dedicated and helpful and the doctors were truly caring and professional. Thanks to all your staff for making my visits to your great hospitals a good experience.",St Mary's Hospital (HQ),positive
2534,"As a patient treated in Brockham Ward in August this year I can only say that I was treated with kindness and dignity by all staff I encountered during my 4 day stay.  The ward was immaculately clean and my questions and concerns were treated with respect and understanding. Decisions about my care were clearly explained to me and every effort was made to keep me comfortable and pain free.  I live locally and have often had to pick up my local paper to read yet another article where ESH is being criticised for something and just feel that people are very quick to comment when they thing something is wrong but that it should be the same speed you let an establishment know when they are getting it right and it terms of my experience in Brockham Ward, Theatre etc ESH you are doing an excellent job. Thank you.",East Surrey Hospital,positive
3162,"I found the hospital to be very clean and tidy and the staff were so helpfull and caring, even my visitors passed comment on how friendly and helpfull everyone was.
The food was at restaurant standard and again nothing was to much trouble for the catering staff. Although the thought of going into hospital is not somthing i would relish if i had to go again fulwood hall would be at the top of my list",Fulwood Hall Hospital,positive
4083,"I was treated by nurses who genuinly wanted to be there and who really gave the impression that they enjoyed nursing. Having recently spent two months visiting a close relative at the William Harvey hospital where the standard of care and nursing was none existant and was staffed by nurses who did little if any actual nursing.
Compared to what I experienced yesterday at the Kent and Canterbury which was first class service by first class staff, I can't thank them enough.",Kent and Canterbury Hospital,positive
10802,"I was sent to the early pregnancy clinic at St Michaels when I had a miscarriage.  I just want to the say that the team there were excellent and made me feel so much better about my situation.  A big thank you to the nurse who conducts the blood tests they are superb at her job and was compassionate, knowledgeable and a real credit to the hospital and the NHS.",St Michael's Hospital,positive
9723,"patient confidentiality
Professional standards
Patient/consultant communication
Inter staff communication by senior staff to lower grade staff",Salisbury District Hospital,negative
3715,"I attended the maternity clinic at Hertford today for the first time and didn't really know what to expect. 

The receptionists, nurses and midwives were just lovely and made my husband and I feel at ease right away with their friendliness and kindness. 

I also had blood taken and the nurse who saw me was efficient but friendly. I also witnessed many elderly and infirm people being treated gently and patiently, it seems that a consistent and very high standard of care given - I wish they had a full maternity ward! A lovely clean and modern hospital. Thank you for my positive first experience.",Hertford County Hospital,positive
1258,"I took my 6 year old daughter to the childrens day case unit - ward 27 for a small procedure.
I cannot thank the staff enough for how they treated my daughter and me during the day.
Pre-op they had a pay worker explain to the children why they were visiting the hosiptal and they talked them through what would happen when they came in for their operations.
On the day of the procedure, the nurses were very friendly and showed a lot of warmth to my daughter. The family support worker and play workers were fantastic. We werent kept waiting at any point and I always felt that I could ask any questions at any point.
Thank you very much!!!",Burnley General Hospital,positive
8399,"My wife has just had a colonoscopy and the time from initial consultation to completion was superb. The treatment was excellent. The staff were wonderful. We have nothing but praise for the whole experience. 
I hope somebody passes on these comments and not just the negative comments that people make.",Royal Bournemouth General Hospital,positive
639,"I was not treated with any repect from the Doctor I saw, and he would not listen to me, he said he was the expert and he knew best, no bed said manners at all. The hospital looks very run down and dirty.",Birch Hill Hospital,positive
12659,"My first time in hospital,with a heart attack,  All staff  [A & E and CCU Ward ] were extremely professional and efficient, also kept me informed throughout the treatments I received.
Rehabilitation and after care which is ongoing has also been excellent",Warrington Hospital,positive
9731,"I am only 12 years old and i have very recently had to have my appendix taken out. With Salisbury hospital, I didn't go one minute when I didn't know what was going to happen, or what was going on around me. I was very comfortable in the ward and was relaxed and happy in there. Salisbury hospital was a great hospital to be in and I would reccomend it to anyone! Thanks Salisbury!!",Salisbury District Hospital,positive
287,"The speed team work of the staff , the information that doctors gave me about my illness and due to the fact that I had been told for the last ten years by another hospital/doctor  that I was suffering something else and the doctor at Ashtead pin pionted my illness within 3 weeks of my first apiontment. Finnally the staff are some of the most helpfull and freindly I have come across. Briliant, I would recommend this hospital to anyone.",Ashtead Hospital,positive
2672,I visited Epsom A &amp; E  Department in November 2009 and following an immediate Appointment at Outpatient St. Helier Hospial I had a colonoscopy at Epsom Day Care Unit between Christmas and New Year and  was diagnosed with Bowel Cancer.  I would like to say publicly my very grateful thanks to everone at Epsom &amp; Ewell District Hospital that by Easter I had had surgery and recovered and am now back to leading a full life.  The care and attention that I received from all the Staff was without a doubt excellent from my initial call at A &amp; E to all the Nursing Staff who looked after me in HDU and Chuter Ede Ward and especially my superb Surgeon.  Having previously read and heard only horror stories I wish my experience to be shared by all.,Epsom Hospital,positive
2850,I am diabetic and under the care of a nurse. She is beyond doubt the best medical carer I have ever met. She is an asset and half my problems are over when she attends to me. The best.,Finchley Memorial Hospital,positive
595,i could have been helped,Bedford Hospital South Wing,negative
944,Everything,BMI - Thornbury Hospital,negative
9866,"I was admitted into Shelton Hospital (NH) a couple of years ago.  I cannot THANK all the staff and doctors who helped me back on the road to recovery enough, they gave me another chance at life and for this I will always be enternally grateful.  The nursing staff and doctors were incredible showing me endless caring support (even to this present day) and always had words of comfort anytime of day or night.  Without my stay at Shelton I dread to think of what my future my of held.  Thank You to each and everyone of you for all your dedication and commitment.",Shelton Hospital,positive
8643,"I gave birth to my son in June of this year and can highly recommend this hospital to anyone considering a hospital birth. I opted for a water birth and although the labour was very quick the nurses worked quickly and efficiently to ensure that the room was ready and I got the birth that I wanted. They were there throughout the entire time and were really wonderful. I was not rushed to leave and had a very quiet room to myself and the baby for the day. I left in the afternoon. This is my third baby and all my experiences have been of the same standard, they do a wonderful job!",Royal Devon and Exeter Hospital (Wonford),positive
4824,I would like to state that the support and attention I received during my visit for a minor injury was outstanding and I would like to thank the staff at the hospital,Liskeard Community Hospital,positive
5037,"On behalf of my father admitted after heavy bleeding from back passage.
3 Days in and still no diagnostic tests - i.e. colonscopy.
Doctors could not find him after Ward 1 recorded him as being discharged instead of transferred to another ward.
Toilets blocked, no hot water on ward, no treatment plan in place.
Doctors believe that colonscopy not available at this hospital - it is! I checked the web site and phoned the relevant department.
No communication, nurses do not know what is supposed to be happening.
Dinner menu lost, no food provided.  Eventually one ham sandwich found.",Luton and Dunstable Hospital,negative
4170,"I was admitted to Deane A for elective bowel surgery following a diagnosis of cancer. I stayed for 6 days. My surgeon and his associates, were all very informative, kind, curteous and helpful. They explained in great detail what was going to happen, and all about afterwards too.
The nurses on the ward were all excellent (barring a couple of night staff who were very noisy!) they were kind, and nothing was too much trouble for them, even though they were very busy. My pain was well controlled, and I was even granted my request on the day after surgery to just stay in bed and rest, even though the surgeon had wanted me to walk a short length of the corridor outside the bay! I duly complied with his request, though, the next day, as I'd promised him, and walked, with the aid of the physiotherapist all the way around the Deane wards! He was duly impressed!  It's this sort of give and take, though, that makes all the difference, I was allowed the rest I needed, at the time I felt I needed it the most. The specialist colo-rectal nurses are second to none too, full of information, which they're only too happy to impart.  I found the food excellent too. Thank you very much to ALL concerned in my care :-)",Kettering General Hospital,positive
2973,"The entire NHS experience from 3 paramedic attendance at home following GP ambulance callout for chest pain,  the unexpected diagnosis of chronic anemia,  the immediate blood transfusion,  and I thought the food was fantastic.   They all seemed to be working extremely well as a team,  with the multi ethnic leaders all showing behaviours that I thought could not be bettered.",Frimley Park Hospital,positive
5759,I am a regular at the Deansley Centre after being treated for Prostate Cancer. I can honestly say that I have always been treated efficiently and with respect. I have also had to attend different parts of the hospital for other reasons and found the same. I don't think it's just luck.,New Cross Hospital,positive
13568,"My first ever op (Hip Replacement) and I was treated with total respect and reassurance from day one at pre op assessment right through to ending up on ward 12b after op, everyone worked as team members, staff on ward, physio staff, brilliant, lovely staff, my best regards to you all.",Wycombe Hospital,positive
10524,My friend waited four hours to see a doctor despite being very unwell. She was triaged on arrival but then left in a cubicle alone without a nurse call buzzer or further assessments. Had I not arrived goodness knows what would have happened. People waiting longer times should be rreassessed as a persons condition can change. I understand casualty is busy but all patients deserve good care.,St James's University Hospital,negative
4719,"I was treated quickly, and efficiently in the minor injuries clinic. Staff were friendly, and knowledgeable",Lewes Victoria Hospital,positive
2515,"Getting out of this over subscribed, dirty awful place.",East Surrey Hospital,positive
4112,your website is worse than useless. havn't seen anything so bad for many yrs,Kent and Sussex Hospital,positive
4021,No improvement needed.,John Radcliffe Hospital,negative
13109,"came into Wexham Park on the 17th July for an operation. I feel compelled to say that my treatment was nothing short of excellent. 
 
From my pre-op assessment where I was dealt with in a friendly and efficient manner, given an opportunity to ask questions, and shown where I needed to go on the day of the operation, through to my initial reception at the Theatre Waiting Lounge (I would like to give the receptionist a particular mention as she made me feel very welcome and helped me relax), through to the Theatre staff and the nurses on Ward 8, I was dealt with in a friendly, professional and understanding manner by everyone without exception. 
 
I am a very strong supporter of the NHS and get annoyed whenever people knock it. With treatment like this why should anyone need private health insurance.
 
A big thank you to everyone.",Wexham Park Hospital,positive
2668,"My daughter was an inpatient on Chuter Ede Ward. She has cerebral palsy and is profoundly deaf and partially sighted, this meant i had to stay with her during her stay. We have experienced many hospital admissions over her lifetime and usually on childrens wards and adolescent units. Now 23 years old, she has to be admitted to an adult ward. We were both concerned how this would work for us. I have to say the care we both received was outstanding, I could not have managed this difficult elongated stay without the staff. Unfortunately I cannot remember all the nurses names but they were all excellent. Whether they were working days or nights they were so kind,   courteous, professional and worked so hard. I cannot thank them all enough for making a difficult admission so much easier for us. I realise the nurses are frontline staff and these nurses on Chuter Ede are truly a credit to Epsom Hospital and the NHS. Thank-you ladies for being wonderful.",Epsom Hospital,positive
5775,the nursing care needs to be improved a nurse was called to a patent opporsit me four times twice by me they needed the toilet after coming round no help from the nurse so they made a dash falling in between beds nearly breaking their back and making a mess everywhere after the big clean up with big smell in ward the dinners was served i was soon moved and should off but didnot  report the problem,New Cross Hospital,negative
8336,"My faith in the medical profession has been shot to pieces. Blackburn hospital saved my life 2 years ago. Despite suffering from kidney cancer, the whole experience was one of the most poitive experiences of my life. The care I received was outstanding and I could not fault one single aspect. 

Attending today, for a completely unrelated consultation, I was treated as if I was not worthy of the air I breathed, frightened, condemned to a life of pain with not one single positive comment during a 25 min consultation by a certain orthapeadic consultant. So grateful I was treated so brilliantly by a different consultant and his team 2 years ago. Thank you so much.",Royal Blackburn Hospital,positive
1912,i was treated very well by the a&e staff and the ward staff on great tey when i was in hospital only 3 staff looking after 27 of us overnight and they done a brill job,Colchester General Hospital,positive
8924,"It was actually my 10 month old daughter who was admitted with breathing and feeding difficulties and other underlying issues. The care we received was excellent from the moment we arrived at A&amp;E to her discharge from Northbrook Ward. We have since been back for an outpatient appointment, and again the care was excellent. The staff were brilliant, taking pains to explain what was happening and making what was a horrible experience as good as it possibly could be,",Royal Hampshire County Hospital,positive
10372,"St George's treat me as my parents.I will remeber them my whole life becuse of their helpfull, freindly,fast and modern treatment.All
the staff,nurses,doctor's are exceptionaly good.",St George's Hospital (Tooting),positive
11594,The personal touch and being warmly treated as an individual by all staff both medical and ancilliary.,The James Cook University Hospital,positive
10959,"I like the way the Nurses and Drs communicated with each other about my sons treatment and respected my wishes that i didnt want him to know how severe his diagnosis was.
The atmosphere on the shugborough ward was up lifting, extremly reassuring and the staff felt like longtime friends when they shared all my emotions with me as I was told about my sons condition.",Stafford Hospital,positive
5136,"Information about the services, resources and staffing are unclear.  I hoped this website would help, but there is no information under the Treatment section.",Lyndon Day Hospital and South Resource Centre,negative
12409,"When I arrived at the maternity reception desk barely able to stand up straight anymore; I was immediately ushered into a delivery room by a midwife who was due to finish her shift...  She checked over my maternity notes, introduced me to the midwife who was about to take over my care.  My husband later informed me that the first midwife had actually stayed for the duration to see how I got on, and only left when my son was safely delivered.  I thought that was really nice of her.  Luckily for her, my son was born within an hour of my arrival!",University Hospital Of North Durham,positive
9222,the care i received could not have been any better if i had been a private patient the doctors and staff from the surgeons to the cleaners were amazing the food was good the cleanliness was good,Royal Preston Hospital,positive
9528,"My husband stayed at Russells Hall Hospital, for a number of months following a traffic accident. He was extremley poorly and was taken to ITU, I was at all times updated on his condition and the doctors and nurses made time to explain things I didn't understand. I found myself in an alien scenario and the people who work in the hospital, made me feel at ease with the situation I found myself in, they didn't just look after my husband but me aswell, and I wasn't even a patient. I was at the hospital at all hours of the day and night, and I can honestly say that I didn't see any part of the hospital that was dirty. We have since used the hospital many times, due to out-patient appointments etc. and found that the service we received was outstanding. My husband and myself owe alot to the people who work at Russells Hall Hospital, and we shall never forget each and everyone who helped us through a particular dark patch in our lives.
Many Thanks",Russells Hall Hospital,positive
8747,"I would just like extend my praise to the doctor &amp; nurses  in the A &amp; E and X ray from night shift and day shift that treated me with respect,kindness and understanding. All the staff I encounted were excellent and I cannot thank everyone enough. A wonderful hospital!",Royal Free Hospital,positive
797,Maternity Unit: Stayed at BAGH maternity unit for 3nights following the birth of our son. We had difficulty breastfeeding and could not have succeded without the help and support of the midwives and care assistants in the maternity unit at Bishop Aucland General.,Bishop Auckland Hospital,positive
1367,I am attending the Queens Oncology centre at the moment for radiotherapy for prostate cancer.The standard of care is excellent.I was put at ease as soon as I walked in.I have been made to feel special all the way through by the nicest staff you could wish to meet.Still got a few more sessions to go but they are passing quickly.We have still got a lot of special people in our NHS.I really appreciate what they are doing for me.,Castle Hill Hospital,positive
3838,"Fantastic care provided by all of the staff - lots of support for a new Mum with no experience! The staff were professional, friendly and supportive at all times. The place was dated, but very very clean, and comfortable.",Honiton Hospital,positive
13232,"the cost of t v was expensive ,other than that everything was good",Whiston Hospital,negative
864,"My late father was a patient at ward 3.  His admission to hospital came following a sudden deteroriation in his condition which made it impossible for us to continue to maintain him independently at home.  Sadly he died whilst in hospital.

I would like to thank the entire staff for the care and consideration that my father received whilst in this hospital.  We are all very grateful for the high standard of care that the team on ward three provided.  We sat with my father for long periods and saw the high levels fo care and compassion they gave.

They were supportive and compassionate towards my family and myself.",Blyth Community Hospital,positive
8414,Not a lot just teeny things...A bath mat  for the shower would have saved me mopping up with my flannnel. The notice asking only patients to sit in the armed chair in my room could have been better placed rather than hiding by the wardrobe...then we would have seen it and my husband not got scolded!! As I said very minor!!,Royal Bournemouth General Hospital,negative
8006,"I was admitted for knee surgery Feb 09 and was very pleased with  my treatment and the outcome. I unfortunately require more surgery but am not worried in the slightest. I am being treated by the doctor who listens to me, lets me give my own oppinion and gives me the realistic outcomes. I would recommend to anyone",Robert Jones and Agnes Hunt Orthopaedic Hospital,positive
3538,"I  was  admited  to  the  hospital  for  a Heart  Valve  Replacement  It  was  successfully carried  by   the surgeon  to  whom  I am  greatly  thankful. The  after  care  in the  in Intensive  Ward  was  brilliant  as  was the  rest  of  my  care  and  treatment  Many  thanks  to  all  the  Staff  ie  Doctors, nurses catering  and  the physo.  Thanks  to  you  care  I  am  now  fully  recovered  and enjoying life  again Terence  (  tom )  Owens",Hammersmith Hospital,positive
10402,"Staff need to follow basic hygiene regulations to reduce infection risk for themselves and most importantly PATIENTS. 
The attitude radiographer very rude/unprofessional.",St George's Hospital (Tooting),negative
245,the hospital actuly sorting out whay i was in extream abdo pain and sent home in the same pain i was addmitted with,Arrowe Park Hospital,negative
198,"Haematology Department: The consultant and nurse took time to explain everything fully and clearly to my elderly mother.  After information-gathering and an examination by the doctor she was offered a CT scan, which she accepted.  Her opinion was consistently requested and taken into account and she was treated with respect and kindness - a positive hospital experience!",Altrincham General Hospital,positive
8741,"I would just like extend my praise to the doctor in clinic 3 who treated me with respect,kindness and understanding. All the staff I encounted were excellent and I cannot thank everyone enough. A wonderful hospital!",Royal Free Hospital,positive
3644,Communication and Cleanliness,Heartlands Hospital,negative
8604,"i liked the way the Consultant and his team consulted me before and after the operation & treated me with kindness and respect and also with a smile, the word to use is ""excellent"" also the treatment i received in ward 203 at the royal and afterwards in ward 5 at the derbyshire community hospital was for want of a better word ""excellent"" again. i would be gratefull if u could pass on my thanks to all concerned, a very massive thankyou",Royal Derby Hospital,positive
7838,"i have to have regular blood tests. evry fortnight, it is always quick and easy at Queen Victoria Memorial Hospital , with super hours of opening 7.00am-2.30pm for blood tests",Queen Victoria Memorial Hospital,positive
1001,"I was very happy with my overall care,i was explained from the start what was happening,and could ring up any time,my consultants secretary was very very pleasent and helpfull,i felt very comfortable with every one,I will definetly be using this hosptal again even though it is a 45 minute drive from my house because of the care at the hospital,keep it up!",Bradford Royal Infirmary,positive
5580,"The radiographer on duty was super. I went into the MRI scanner and felt horrid, I was not expecting this but she got me out straight away and told me not to worry. She explained other things I could try so I would be able to cope in the machine.
The radiographer remained calm and behaved as if we had all day. 
She let me know each step of the way how long each bit of the procedure would take and spoke to me after each section, I could however push the button and stop at any time.",Milton Keynes Hospital,positive
9637,"In April this year I was referred by my GP to the Rapid Access Colorectal Clinic, within 3 days of seeing my GP I had been seen,diagnosed and treated for my condition.As anyone knows who has been in this position it is a very worrying time, to be seen so quickly was such a relief. The staff were brilliant they made me feel so relaxed and were so caring nothing was too much trouble. 

I have since attended The Gastroenterology Clinic on several occassions and have nothing but praise for the care and treatment given.I have also had to contact the speciality nurses for advice(once whilst on holiday ) they were excellent !! not onyl giving advice but also reassurance.They have also ensured that all aspects of my treatment have been delivered.

I had a further appointment in the GI Unit in October where once again I was treated extremely well by all members of staff.

One last comment I have been for a bone scan today once again a Brilliant service!!

I have nothing but praise for Russells Hall  Well Done!",Russells Hall Hospital,positive
9328,"I stayed in ward 2B for a week early in September. I can't praise the staff enough. The care i was given could not have been better. All the staff at all levels were caring, considerate and sociable. It is always a relief when we leave hospital a lot healthier than when we arrived. On this occasion however, it was sad to leave such great people behind. I would most certainly reccommend this ward (neurology) to anyone. If i am unfortunate to require further need for similar surgery in the future, this is the Hospital i would choose. Thank you all.",Royal Preston Hospital,positive
271,"Just registered myself and family here and had health check.  Everybody at the practice was lovely, the first impressions are great, the receptionists are so friendly and the doctor and nurse I saw were both very professional, friendly and lovely.  I would recommend anybody to go to this practice.  Appointments are easily to get (had to wait weeks at my previous practice) and the staff want to help.",Ashfield Community Hospital,positive
4435,"The Kingston hospital does not follow NHS regulations for an oversea visitor who is employed by a UK employer. 

According to the information given by Department of Health (http://www.dh.gov.uk/en/Healthcare/Entitlementsandcharges/OverseasVisitors/Browsable/DH_074381) and its implementing regulations (http://www.dh.gov.uk/en/Healthcare/Entitlementsandcharges/OverseasVisitors/Browsable/DH_074381), my wife and I are entitled to have a free NHS service as patients because we are included in exemption for charges. However, they declined my wife, who is pregnant, because of our living in UK less than 12 months. 

If they could say ""NHS Hospital TRUST"", I believe they should trust the regulations and guideline of NHS. However, they do not allow an exemption case such as ours, an UK employee and less 12 months living.

Therefore, they advised us to pay £2,000 in advance or let my wife (35 weeks of pregnancy) go out and find other hospitals which may have less level of criteria, which means ""follwing NHS guideline"".

To improve the service of the Kingston Hospital, I believe they should follow the NHS guideline and regulations.",Kingston Hospital,negative
11541,"Hi I have now had both cataract removed by the doctor who has saved my sight from getting worse and I can now drive my car without a White stick,no but seriously I cannot praise the doctor and the team highly enough,anyone having doubts about this surgery should really not hesitate but go for it,the improvement in your sight is unbelievable vivid Blues,Greens,Reds I honestly could not believe the colour of the gas on my cooker,all these things make you feel a 100% better because of your new sight Please do not worry every one looks after you 
Cheers from Happy Bunny Graham",The James Cook University Hospital,positive
12689,"I had a Bone scan- was worried beforehand, but the staff were kind and reassuring.  When I felt faint they were understanding and patient.  They kept to the time of my appointment exactly - I wasn't kept waiting - not what I thought would happen from previous experience",Warrington Hospital,positive
3834,"The nurses looked after me very well, putting me at ease and working with the doctor to clean me up and sew me up! 

The staff at the A&amp;E are quick, efficient and comforting.  Thank you all very much!",Honiton Hospital,positive
5613,"I first visited this hospital in march 2007 when i went into labour with my son, and the care was awful, and they wouldnt listen to me and just wanted to send me home as i wasnt dilating, if it wasnt for my mum being stubborn my son would not be here to this day as he got in distress and his heart stopped so i was rushed in for an emergency c section, now if i was at home like they told me then he would have died. My son was taken into special care after he was born and because i am a larger women the nurses refused to help me out of bed and i didnt see my son for the first 2 days, special care was fantastic though. So when i fell pregnant late 2009 i was so worried about having my baby at milton keynes and was even thinking about going to another hospital, cause of my complications before my doctor suggested i have an elective c section but when i went to see the consultant she was adamant i went into natural  labour and she had me in tears by the time i left. I then went back for another appointment and this point i was adamant that i was having a c section and they finally agreed, the midwives in the clinic where fantastic and couldnt have done more for me. When i was taken into the ward it was clean and the staff where really nice and the consultants where great, they listened to my concerns regarding the epidural and they couldnt get it in my back last time and i was put under, so when i was taken down they tried to get it in for 45 mins and in the end i was put under, but the care after was far better then the last time i was there and the midwives couldnt have been more helpfull, even when i had trouble getting up they helped, i was suprised by the major change and it was good to see with my own eyes the changes they have made.",Milton Keynes Hospital,positive
1462,"more dignity and respect  ,  more understanding of prospective patients wishes from admission staff",Charing Cross Hospital,negative
10724,Attending for antenatal care.  Very badly informed.  Extremely disorganised.  No information given.  Difficult to get an appointment. Dates worked out incorrectly therefore scan not valid. Last visit air conditioning/heating unit crashed through the ceiling in the waiting area and could have seriously injured somebody. No confidence in service provided.,St Mary's Hospital (HQ),negative
7086,I had my first baby at the Princess Anne in January this year and have nothing but praise for the hospital and staff.  I have just found out that I am pregnant again and will definitely be having my second baby here too.,Princess Anne Hospital,positive
10539,I was seen as an outpatient exactly at the time of my appointment. The medical staff were friendly and not at all patronising and took their time to explain everything and answer all my questions.,St James's University Hospital,positive
9064,"I was treated in an excellent way at the Liverpool Dental Hospital. I had shied away from dentists for many years because of the butchery I suffered when I was younger. The dental hospital was a world away from my expectations of how it would be. To be treated by a very good dental student was more than acceptable, under the consultant they performed in a manner I can't praise enough. I think it better to be treated by a good student is better than being treated by a jaded dentist who has done the job for years. I wondered why I had put off my visit and suffered for years, I could have avoided many sleepless nights and pain. If the students carry the same care into their own practise, they will all do well.",Royal Liverpool University Dental Hospital,positive
4027,"I was one of the first patients on the new Neuroscience ward back in Jan i was seriously ill and before i was in JR i was in MK hospital so when i came round i had no idea what was going on or where i was the staff were very polite and explained everything if i wanted anything it was done, going through Rehab getting me able to use my body again they were understanding and at first let me go at my own pace i never once felt degraded or helpless the staff were understanding and did everything they could to help me progress and recover from my illness. Although the doctures were not sure what it was that made me ill in the first place they still kept looking into my case and still kept me updated on all i had been through and made sure i had the facillities to recover outside of hospital and the support continued after i was let home",John Radcliffe Hospital,positive
3216,The food! I also hated being on a mixed ward in the MAU but I understand why that is necessary.,Furness General Hospital,negative
9536,"As I live a very long way away I sent a gift to a very ill friend at russells hall hospital. The gift was garenteed to arrive as soon as possible but after not hearing anything i phoned the hospital to ask if it had arrived?
The Ward sister just plainly told me that it hadn't been brought to the ward, this was a saturday so i asked if someone might still bring it but was told no. Apparently this hospital has no weekend staff outside of the wards at all! Nobody in the post room nobody at the materials management and amazingly enough nobody at the main reception???
How on earth can you provide any sort of service for any visitors at all if the facility is totally unmaned for such a long periood of time.
Further to this i was informed by a friend that was visiting that flowers were not allowed so i looked at the russells hall website and did a thorough search for plants and flowers but found no such mention.
In effect I feel that my poorly friend is being denied her rightfull property without anyones consent.
The package was clearly addressed to her with her ward name and number along with the hospital address, so the royal mail seems to have been diverted which is far from proper practice in any environment.",Russells Hall Hospital,positive
3535,"The Professionalism of all the Doctors and Surgeons The care from the Nurses, all of my treatment was second to none, i am so glad that it happened at the hammersmith hospital, may god keep them all well, great team work

Petros",Hammersmith Hospital,positive
9640,The thoughtful care I received  during my stay on A1,Russells Hall Hospital,positive
3256,I don't actually think that the consultant listened to my husband and me at all; the 3 student doctors spent most of the time staring at the floor.  The consultant lacked knowledge; offered no options and did not understand the side effects of their suggested recommendation.  A very poor service from which I will take a while to recover.,George Eliot Hospital - Acute Services,negative
